  18.0, 173.4
   7.8, 126.2
   8.5, 131.2
  12.5, 155.0
   7.4, 126.8
  15.0, 170.4
   7.1, 121.8
  15.2, 169.3
  19.2, 176.8
  16.6, 175.2
  18.7, 175.9
  13.3, 160.4
  19.1, 174.6
  15.1, 169.9
  16.7, 173.1
  12.7, 155.8
  19.3, 175.4
  18.6, 174.4
  11.8, 148.5
  15.5, 172.5
  17.2, 175.2
  18.3, 175.6
   7.1, 123.1
  18.5, 170.8
   7.4, 125.0
   7.4, 128.4
   9.8, 140.9
  16.8, 175.8
  10.0, 142.8
  10.9, 146.3
   9.4, 137.2
  13.5, 163.2
  15.8, 174.7
  18.4, 174.3
  10.4, 143.6
  12.4, 153.3
   7.1, 127.2
  16.2, 171.9
  12.2, 156.6
   9.4, 135.4
  16.6, 172.4
  18.6, 176.8
   9.9, 140.2
  11.0, 148.0
  18.3, 173.0
  18.9, 172.0
  10.1, 143.1
  13.7, 165.0
  15.2, 169.9
  12.5, 153.6
  15.9, 178.2
  10.4, 143.7
  17.2, 173.9
  11.5, 151.1
  12.5, 154.1
  19.2, 178.8
   8.6, 132.1
  12.3, 153.6
   9.3, 137.2
  13.0, 161.0
  18.3, 173.8
  15.7, 176.3
  13.0, 161.3
  13.3, 160.0
  18.8, 174.6
  14.4, 166.6
  14.0, 164.9
  19.9, 173.9
   8.8, 134.5
  16.3, 171.4
   8.0, 133.0
  12.6, 153.2
   7.9, 126.4
   7.6, 131.2
  13.4, 161.0
  15.7, 172.7
  10.7, 144.1
  18.9, 175.7
  15.6, 173.4
  17.6, 175.3
  17.8, 176.7
  19.0, 173.0
  10.2, 142.1
  10.7, 143.5
  11.5, 147.2
   8.4, 130.6
   9.6, 139.7
  12.0, 151.4
  12.1, 147.8
   8.3, 131.0
   9.4, 134.2
   7.3, 123.5
  13.7, 163.3
  11.2, 145.9
  13.8, 164.2
  19.6, 175.9
  19.0, 172.2
  14.7, 169.1
  15.8, 173.9
  10.8, 145.0
